UID	ACCESSION	VERSION	ORGANISM	SEQ_LEN	TAXONOMY	ORGANISM_GENUS_SPECIES
NC_036836.1	NC_036836	1	Brachypodium hybridum	136327	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Brachypodieae; Brachypodium	Brachypodium hybridum
NC_036929.1	NC_036929	1	Fagus engleriana	158346	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Fagus	Fagus engleriana
NC_036930.1	NC_036930	1	Quercus glauca	160798	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	Quercus glauca
NC_036935.1	NC_036935	1	Amomum krervanh	162766	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Zingiberaceae; Amomum	Amomum krervanh
NC_036936.1	NC_036936	1	Quercus tungmaiensis	160702	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	Quercus tungmaiensis
NC_036940.1	NC_036940	1	Aquilaria yunnanensis	174885	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Malvales; Thymelaeaceae; Aquilaria	Aquilaria yunnanensis
NC_036941.1	NC_036941	1	Quercus sichourensis	160681	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	Quercus sichourensis
NC_036943.1	NC_036943	1	Scrophularia henryi	152868	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Scrophulariaceae; Scrophularieae; Scrophularia	Scrophularia henryi
NC_036958.1	NC_036958	1	Paphiopedilum dianthum	154699	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Asparagales; Orchidaceae; Cypripedioideae; Paphiopedilum	Paphiopedilum dianthum
NC_036962.1	NC_036962	1	Cardamine amara	154561	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Cardamineae; Cardamine	Cardamine amara
NC_036963.1	NC_036963	1	Cardamine oligosperma	153888	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Cardamineae; Cardamine	Cardamine oligosperma
NC_036964.1	NC_036964	1	Cardamine parviflora	154684	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Cardamineae; Cardamine	Cardamine parviflora
NC_036965.1	NC_036965	1	Cirsium arvense	152855	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Carduoideae; Cardueae; Carduinae; Cirsium	Cirsium arvense
NC_036966.1	NC_036966	1	Cirsium eriophorum	152557	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Carduoideae; Cardueae; Carduinae; Cirsium	Cirsium eriophorum
NC_036967.1	NC_036967	1	Cirsium vulgare	152567	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Carduoideae; Cardueae; Carduinae; Cirsium	Cirsium vulgare
NC_036968.1	NC_036968	1	Galeopsis tetrahit	151690	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Lamioideae; Lamioideae incertae sedis; Galeopsis	Galeopsis tetrahit
NC_036969.1	NC_036969	1	Galium aparine	152712	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Rubiaceae; Rubioideae; Rubieae; Galium	Galium aparine
NC_036970.1	NC_036970	1	Galium mollugo	153677	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Rubiaceae; Rubioideae; Rubieae; Galium	Galium mollugo
NC_036971.1	NC_036971	1	Lamium album	150505	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Lamioideae; Lamieae; Lamium	Lamium album
NC_036972.1	NC_036972	1	Lamium galeobdolon	151328	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Lamioideae; Lamieae; Lamium	Lamium galeobdolon
NC_036973.1	NC_036973	1	Poa annua	135653	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Poinae; Poa	Poa annua
NC_036974.1	NC_036974	1	Poa nemoralis	135845	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Poinae; Poa	Poa nemoralis
NC_036975.1	NC_036975	1	Poa trivialis	135208	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Poinae; Poa	Poa trivialis
NC_036976.1	NC_036976	1	Ranunculus repens	154247	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Ranunculales; Ranunculaceae; Ranunculoideae; Ranunculeae; Ranunculus	Ranunculus repens
NC_036977.1	NC_036977	1	Ranunculus reptans	157239	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Ranunculales; Ranunculaceae; Ranunculoideae; Ranunculeae; Ranunculus	Ranunculus reptans
NC_036978.1	NC_036978	1	Commiphora wightii	156064	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Sapindales; Burseraceae; Commiphora	Commiphora wightii
NC_036979.1	NC_036979	1	Chionanthus parkinsonii	155436	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Chionanthus	Chionanthus parkinsonii
NC_036980.1	NC_036980	1	Chionanthus rupicola	155563	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Chionanthus	Chionanthus rupicola
NC_036981.1	NC_036981	1	Forestiera isabelae	155161	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Forestiera	Forestiera isabelae
NC_036982.1	NC_036982	1	Forsythia x intermedia	156376	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Forsythieae; Forsythia	Forsythia x
NC_036983.1	NC_036983	1	Nestegis apetala	154849	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Nestegis	Nestegis apetala
NC_036985.1	NC_036985	1	Olea exasperata	155897	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Olea	Olea exasperata
NC_036986.1	NC_036986	1	Schrebera arborea	155657	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Schrebera	Schrebera arborea
NC_036987.1	NC_036987	1	Syringa vulgaris	155616	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Syringa	Syringa vulgaris
NC_036989.1	NC_036989	1	Boehmeria spicata	170958	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Urticaceae; Boehmeria	Boehmeria spicata
NC_036990.1	NC_036990	1	Boehmeria umbrosa	170920	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Urticaceae; Boehmeria	Boehmeria umbrosa
NC_036992.1	NC_036992	1	Wurfbainia compacta	163553	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Zingiberaceae; Wurfbainia	Wurfbainia compacta
NC_037001.1	NC_037001	1	Magnolia conifera	159973	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Magnoliales; Magnoliaceae; Magnolia	Magnolia conifera
NC_037002.1	NC_037002	1	Magnolia duclouxii	160055	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Magnoliales; Magnoliaceae; Magnolia	Magnolia duclouxii
NC_037003.1	NC_037003	1	Magnolia glaucifolia	160059	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Magnoliales; Magnoliaceae; Magnolia	Magnolia glaucifolia
NC_037004.1	NC_037004	1	Magnolia megaphylla	160077	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Magnoliales; Magnoliaceae; Magnolia	Magnolia megaphylla
NC_037005.1	NC_037005	1	Magnolia alba	160106	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Magnoliales; Magnoliaceae; Magnolia	Magnolia alba
NC_037022.1	NC_037022	1	Sorbus ulleungensis	159632	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Maleae; Sorbus	Sorbus ulleungensis
NC_037023.1	NC_037023	1	Trapa maximowiczii	155577	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Myrtales; Lythraceae; Trapa	Trapa maximowiczii
NC_037024.1	NC_037024	1	Stipa arabica	137757	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa arabica
NC_037025.1	NC_037025	1	Stipa borysthenica	137825	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa borysthenica
NC_037028.1	NC_037028	1	Stipa hohenackeriana	137753	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa hohenackeriana
NC_037029.1	NC_037029	1	Stipa jagnobica	137827	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa jagnobica
NC_037031.1	NC_037031	1	Stipa magnifica	137848	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa magnifica
NC_037032.1	NC_037032	1	Stipa narynica	137854	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa narynica
NC_037033.1	NC_037033	1	Stipa orientalis	137822	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa orientalis
NC_037034.1	NC_037034	1	Stipa ovczinnikovii	137874	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa ovczinnikovii
NC_037035.1	NC_037035	1	Stipa x alaica	137850	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa x
NC_037037.1	NC_037037	1	Stipa zalesskii	137836	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Stipeae; Stipa	Stipa zalesskii
NC_037038.1	NC_037038	1	Fritillaria eduardii	152224	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria eduardii
NC_037039.1	NC_037039	1	Fritillaria persica	151803	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria persica
NC_037040.1	NC_037040	1	Fritillaria meleagroides	151846	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria meleagroides
NC_037078.1	NC_037078	1	Genlisea aurea	140010	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea aurea
NC_037079.1	NC_037079	1	Genlisea filiformis	140308	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea filiformis
NC_037080.1	NC_037080	1	Genlisea pygmaea	140466	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea pygmaea
NC_037081.1	NC_037081	1	Genlisea repens	140432	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea repens
NC_037082.1	NC_037082	1	Genlisea tuberosa	140677	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea tuberosa
NC_037083.1	NC_037083	1	Genlisea violacea	143416	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea	Genlisea violacea
NC_037084.1	NC_037084	1	Acrocomia aculeata	155829	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Arecaceae; Arecoideae; Cocoseae; Bactridinae; Acrocomia	Acrocomia aculeata
NC_037087.1	NC_037087	1	Tripsacum dactyloides	141050	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Tripsacinae; Tripsacum	Tripsacum dactyloides
NC_037151.1	NC_037151	1	Ziziphus mauritiana	161543	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rhamnaceae; Paliureae; Ziziphus	Ziziphus mauritiana
NC_037152.1	NC_037152	1	Ziziphus spina-christi	161615	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rhamnaceae; Paliureae; Ziziphus	Ziziphus spina-christi
NC_037157.1	NC_037157	1	Triodia stipoides	134874	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Chloridoideae; Cynodonteae; Triodiinae; Triodia	Triodia stipoides
NC_037158.1	NC_037158	1	Oxychloris scariosa	134963	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Chloridoideae; Cynodonteae; Eleusininae; Oxychloris	Oxychloris scariosa
NC_037159.1	NC_037159	1	Prosphytochloa prehensilis	136145	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Zizaniinae; Prosphytochloa	Prosphytochloa prehensilis
NC_037162.1	NC_037162	1	Agrostis gigantea	136705	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 1 (Aveneae type); Agrostidinae; Agrostis	Agrostis gigantea
NC_037163.1	NC_037163	1	Alopecurus arundinaceus	136189	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Poinae; Alopecurus	Alopecurus arundinaceus
NC_037164.1	NC_037164	1	Aristida ternipes	136231	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Aristidoideae; Aristideae; Aristida	Aristida ternipes
NC_037165.1	NC_037165	1	Connorochloa tenuis	134985	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Connorochloa	Connorochloa tenuis
NC_037166.1	NC_037166	1	Rytidosperma pallidum	132765	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Danthonioideae; Danthonieae; Rytidosperma	Rytidosperma pallidum
NC_037167.1	NC_037167	1	Drepanostachyum falcatum	139596	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Bambusoideae; Arundinarodae; Arundinarieae; Arundinariinae; Drepanostachyum	Drepanostachyum falcatum
NC_037168.1	NC_037168	1	Lamarckia aurea	134854	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Dactylidinae; Lamarckia	Lamarckia aurea
NC_037169.1	NC_037169	1	Leptochloa pluriflora	134507	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Chloridoideae; Cynodonteae; Eleusininae; Leptochloa	Leptochloa pluriflora
NC_037170.1	NC_037170	1	Zingeria biebersteiniana	135493	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Poodae; Poeae; Poeae Chloroplast Group 2 (Poeae type); Coleanthinae; Zingeria	Zingeria biebersteiniana
NC_037176.1	NC_037176	1	Koelreuteria paniculata	163258	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Sapindales; Sapindaceae; Koelreuteria	Koelreuteria paniculata
NC_037179.1	NC_037179	1	Gynostemma compressum	157960	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Cucurbitales; Cucurbitaceae; Gomphogyneae; Gynostemma	Gynostemma compressum
NC_037184.1	NC_037184	1	Streptocarpus teitensis	153207	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Gesneriaceae; Didymocarpoideae; Trichosporeae; Streptocarpinae; Streptocarpus; Streptocarpus subgen. Streptocarpella; Streptocarpus sect. Saintpaulia	Streptocarpus teitensis
NC_037191.1	NC_037191	1	Byrsonima coccolobifolia	160329	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Malpighiaceae; Byrsonima	Byrsonima coccolobifolia
NC_037192.1	NC_037192	1	Byrsonima crassifolia	160212	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Malpighiaceae; Byrsonima	Byrsonima crassifolia
NC_037199.1	NC_037199	1	Allium obliquum	152387	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Asparagales; Amaryllidaceae; Allioideae; Allieae; Allium	Allium obliquum
NC_037209.1	NC_037209	1	Fritillaria yuminensis	151813	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria yuminensis
NC_037212.1	NC_037212	1	Eulophia zollingeri	145201	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Asparagales; Orchidaceae; Epidendroideae; Cymbidieae; Eulophiinae; Eulophia	Eulophia zollingeri
NC_037214.1	NC_037214	1	Fritillaria tortifolia	152005	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria tortifolia
NC_037215.1	NC_037215	1	Fritillaria walujewii	151920	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria walujewii
NC_037217.1	NC_037217	1	Fritillaria verticillata	151959	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Liliales; Liliaceae; Fritillaria	Fritillaria verticillata
NC_037227.1	NC_037227	1	Anemopaegma album	168493	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Bignoniaceae; Bignonieae; Anemopaegma	Anemopaegma album
NC_037229.1	NC_037229	1	Anemopaegma chamberlaynii	168933	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Bignoniaceae; Bignonieae; Anemopaegma	Anemopaegma chamberlaynii
NC_037230.1	NC_037230	1	Anemopaegma foetidum	167413	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Bignoniaceae; Bignonieae; Anemopaegma	Anemopaegma foetidum
NC_037232.1	NC_037232	1	Anemopaegma oligoneuron	167621	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Bignoniaceae; Bignonieae; Anemopaegma	Anemopaegma oligoneuron
NC_037242.1	NC_037242	1	Firmiana major	161302	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Malvales; Malvaceae; Sterculioideae; Firmiana	Firmiana major
